iid,gender,dates,match,per_match,age,imprace,imprelig,goal,date,go_out,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
43,1,19,1, 0.05 ,24,1,1,6,6,3,3,8,3,7,2
44,1,19,4, 0.21 ,24,3,3,1,3,1,7,9,8,9,9
45,1,19,4, 0.21 ,28,6,6,2,6,3,7,8,6,8,7
46,1,19,4, 0.21 ,26,2,3,2,6,2,7,8,5,7,7
47,1,19,1, 0.05 ,30,2,2,1,6,1,8,7,9,9,3
48,1,19,1, 0.05 ,22,9,2,1,5,2,7,9,6,7,6
49,1,19,6, 0.32 ,25,1,3,1,3,2,7,10,10,10,8
50,1,19,4, 0.21 ,27,4,4,6,6,2,8,9,9,10,8
51,1,19,1, 0.05 ,23,5,10,1,5,3,6,8,2,10,2
52,1,19,1, 0.05 ,21,10,9,1,4,1,5,8,6,8,7
53,1,19,1, 0.05 ,28,2,2,2,6,2,8,9,8,8,8
54,1,19,0, -   ,28,1,1,5,5,1,8,9,8,8,8
55,1,19,3, 0.16 ,23,1,1,6,4,2,6,10,10,9,10
56,0,10,2, 0.20 ,23,10,9,1,3,1,10,10,9,8,5
57,0,10,1, 0.10 ,22,10,10,3,5,2,6,10,10,9,10
58,0,10,2, 0.20 ,0,0,0,0,0,0,0,0,0,0,0
59,0,10,0, -   ,0,0,0,0,0,0,0,0,0,0,0
60,0,10,1, 0.10 ,29,3,10,4,6,2,7,9,9,9,9
61,0,10,2, 0.20 ,28,1,5,1,5,2,7,10,7,10,7
62,0,10,3, 0.30 ,26,1,1,2,7,2,9,9,9,9,9
63,0,10,1, 0.10 ,24,1,3,3,6,1,6,8,9,8,7
64,0,10,1, 0.10 ,27,6,3,2,6,5,8,8,6,9,9
65,0,10,0, -   ,23,6,3,2,5,3,7,9,9,8,9
66,1,10,1, 0.10 ,29,1,1,2,6,4,6,7,7,8,8
67,1,10,2, 0.20 ,22,1,1,6,5,2,5,7,6,7,7
68,1,10,0, -   ,27,1,1,5,4,3,6,8,7,8,8
69,1,10,2, 0.20 ,28,2,2,6,6,1,5,9,5,8,8
70,1,10,1, 0.10 ,26,5,1,5,2,1,8,6,8,9,6
71,1,10,3, 0.30 ,21,6,7,5,6,2,6,8,8,10,10
72,1,10,0, -   ,22,8,1,5,6,1,7,9,8,8,8
73,1,10,0, -   ,22,7,3,6,4,2,7,7,8,7,8
74,1,10,2, 0.20 ,25,3,1,5,7,2,7,9,9,8,7
75,1,10,2, 0.20 ,24,3,3,6,5,3,7,7,8,8,8
76,0,18,5, 0.28 ,34,5,7,2,7,2,6,6,6,8,4
77,0,18,6, 0.33 ,22,2,2,1,4,2,6,8,8,8,8
78,0,18,3, 0.17 ,23,1,4,2,7,3,3,10,3,8,8
79,0,18,3, 0.17 ,26,8,8,2,7,1,7,9,8,7,7
80,0,18,3, 0.17 ,27,3,1,1,5,4,8,8,8,8,8
81,0,18,3, 0.17 ,28,6,9,5,5,2,8,7,8,7,7
82,0,18,5, 0.28 ,25,2,7,1,3,2,8,9,8,8,7
83,0,18,2, 0.11 ,35,1,5,2,6,1,5,9,9,5,5
84,0,18,2, 0.11 ,32,1,1,2,4,1,7,9,7,8,5
85,0,18,1, 0.06 ,30,3,5,2,6,4,7,9,9,8,9
86,0,18,8, 0.44 ,22,1,1,2,7,1,7,9,9,9,4
87,0,18,2, 0.11 ,23,8,10,1,3,2,9,9,9,9,9
88,0,18,0, -   ,23,8,7,1,4,4,9,9,9,9,9
89,0,18,2, 0.11 ,27,3,2,1,7,3,8,9,8,9,10
90,0,18,1, 0.06 ,23,4,1,2,7,7,5,8,5,7,5
91,0,18,8, 0.44 ,25,6,8,1,3,2,6,7,7,9,8
92,0,18,7, 0.39 ,29,1,2,5,6,1,9,10,9,9,9
93,0,18,4, 0.22 ,29,2,2,1,5,1,8,8,8,8,7
94,1,18,3, 0.17 ,28,6,8,2,6,3,6,9,9,9,7
95,1,18,1, 0.06 ,26,7,5,1,5,2,7,9,8,10,7
96,1,18,0, -   ,26,3,6,1,7,1,7,9,9,9,9
97,1,18,5, 0.28 ,29,4,1,2,5,2,7,5,7,6,6
98,1,18,2, 0.11 ,39,1,1,4,4,2,8,8,8,8,8
99,1,18,8, 0.44 ,28,1,1,3,3,2,10,10,10,10,8
100,1,18,2, 0.11 ,30,8,9,1,3,2,7,8,8,9,6
101,1,18,0, -   ,22,3,2,3,4,3,8,8,8,9,9
102,1,18,1, 0.06 ,32,2,6,1,4,4,8,5,7,10,9
103,1,18,1, 0.06 ,26,8,9,2,4,1,8,8,8,9,9
104,1,18,5, 0.28 ,27,6,8,2,5,3,9,8,7,9,9
105,1,18,8, 0.44 ,25,1,1,2,7,1,8,7,9,8,6
106,1,18,2, 0.11 ,22,1,3,5,7,3,4,7,3,9,2
107,1,18,11, 0.61 ,21,1,1,1,4,1,7,9,9,9,6
108,1,18,4, 0.22 ,24,1,1,1,6,3,4,8,3,7,2
109,1,18,8, 0.44 ,25,1,1,1,4,1,6,9,8,9,8
110,1,18,4, 0.22 ,28,4,6,2,6,1,7,9,8,8,7
111,1,18,0, -   ,27,7,1,5,5,1,5,8,5,8,5
112,0,10,6, 0.60 ,20,1,1,1,3,1,9,10,9,9,9
113,0,10,3, 0.30 ,21,3,8,1,4,1,8,10,10,8,9
114,0,10,1, 0.10 ,20,2,4,2,7,4,7,9,8,6,7
115,0,10,3, 0.30 ,21,10,7,1,5,1,8,7,8,9,8
116,0,10,4, 0.40 ,21,4,1,1,1,1,8,9,8,9,9
117,0,10,1, 0.10 ,21,8,10,1,3,1,8,7,8,8,8
119,0,10,5, 0.50 ,19,5,2,1,3,1,8,10,10,10,10
120,0,10,4, 0.40 ,20,1,4,5,4,3,6,8,8,8,9
121,0,10,0, -   ,21,8,1,5,7,1,2,9,9,7,9
122,1,10,3, 0.30 ,22,1,1,1,3,1,7,10,8,8,8
123,1,10,0, -   ,18,3,5,2,5,1,8,7,7,7,8
124,1,10,0, -   ,22,1,1,2,4,1,8,8,10,10,10
125,1,10,7, 0.70 ,21,3,1,1,3,1,9,6,10,9,10
126,1,10,2, 0.20 ,22,7,5,4,6,3,9,10,9,9,9
127,1,10,4, 0.40 ,22,1,1,6,5,1,8,8,9,9,8
128,1,10,6, 0.60 ,21,3,1,1,3,2,8,7,7,8,7
129,1,10,3, 0.30 ,0,1,1,3,3,3,8,8,8,8,8
130,1,10,2, 0.20 ,20,4,1,1,6,2,5,6,6,6,6
131,1,10,0, -   ,19,4,1,2,7,3,4,6,4,6,6
132,0,5,1, 0.20 ,27,10,1,1,7,2,8,10,10,9,10
133,0,5,0, -   ,24,8,6,1,6,5,6,8,7,8,7
134,0,5,1, 0.20 ,23,8,10,1,5,3,7,8,8,8,8
135,0,5,2, 0.40 ,26,9,6,1,7,2,9,10,7,9,6
136,0,5,1, 0.20 ,0,0,0,0,0,0,0,0,0,0,0
137,1,5,1, 0.20 ,26,1,1,1,4,1,7,9,8,9,8
138,1,5,1, 0.20 ,32,9,6,1,3,2,8,8,8,8,8
139,1,5,0, -   ,37,6,1,1,6,3,8,8,9,9,6
140,1,5,2, 0.40 ,29,5,5,1,5,2,7,7,9,8,8
141,1,5,1, 0.20 ,28,4,4,1,6,2,7,9,8,8,6
142,0,16,7, 0.44 ,24,1,4,1,5,2,9,9,9,10,7
143,0,16,0, -   ,33,6,2,2,7,4,7,10,7,8,7
144,0,16,1, 0.06 ,23,5,2,1,5,2,7,8,8,9,9
145,0,16,0, -   ,24,9,7,2,7,1,5,5,7,9,7
146,0,16,1, 0.06 ,36,1,7,4,7,1,8,8,8,8,8
147,0,16,5, 0.31 ,26,3,3,5,5,1,8,7,8,9,7
148,0,16,1, 0.06 ,27,7,4,5,4,1,8,9,9,9,8
149,0,16,5, 0.31 ,28,3,3,1,5,2,8,8,8,8,8
150,0,16,2, 0.13 ,31,3,3,4,5,2,7,9,8,9,8
151,0,16,2, 0.13 ,28,1,2,3,3,1,9,10,10,10,8
152,0,16,3, 0.19 ,27,2,3,1,4,3,7,9,8,10,8
153,0,16,3, 0.19 ,28,1,1,2,6,3,7,7,6,7,6
154,0,16,7, 0.44 ,27,8,3,6,4,1,8,9,9,9,9
155,0,16,1, 0.06 ,27,5,1,2,5,1,7,10,6,8,9
156,0,16,4, 0.25 ,30,1,1,2,6,3,8,10,10,9,10
157,0,16,1, 0.06 ,28,5,3,1,6,1,7,8,9,8,9
158,1,16,0, -   ,23,3,4,4,6,2,7,9,7,9,6
159,1,16,2, 0.13 ,28,7,2,1,6,2,5,9,8,9,7
160,1,16,3, 0.19 ,29,3,4,2,5,2,8,8,9,8,9
161,1,16,2, 0.13 ,22,6,2,2,4,2,8,7,9,9,7
162,1,16,2, 0.13 ,27,1,1,2,6,2,7,8,7,9,8
163,1,16,3, 0.19 ,26,1,1,4,3,3,7,8,8,9,7
164,1,16,2, 0.13 ,27,1,1,1,6,2,7,9,6,9,4
165,1,16,3, 0.19 ,30,4,7,3,6,3,8,6,7,9,2
166,1,16,3, 0.19 ,26,1,9,5,5,2,7,7,7,7,7
167,1,16,3, 0.19 ,23,1,1,2,6,2,6,7,7,7,5
168,1,16,1, 0.06 ,23,1,1,1,4,2,5,5,5,5,5
169,1,16,5, 0.31 ,28,2,3,2,6,2,7,9,7,8,7
170,1,16,0, -   ,28,2,1,1,5,3,7,8,6,9,8
171,1,16,4, 0.25 ,29,1,1,1,4,2,10,10,10,10,10
172,1,16,5, 0.31 ,27,5,7,1,3,1,5,6,9,8,9
173,1,16,5, 0.31 ,22,5,7,1,4,1,7,9,9,9,9
174,0,10,2, 0.20 ,29,1,1,4,5,3,9,10,8,8,6
175,0,10,3, 0.30 ,23,5,8,2,3,1,7,10,8,8,9
176,0,10,3, 0.30 ,28,10,1,2,6,3,6,9,7,8,6
177,0,10,0, -   ,22,8,3,2,5,2,9,9,8,9,9
178,0,10,1, 0.10 ,35,5,5,2,4,2,9,9,7,8,7
179,0,10,1, 0.10 ,30,5,1,1,6,3,8,10,6,8,10
180,0,10,2, 0.20 ,24,2,2,6,4,2,9,9,10,9,9
181,0,10,5, 0.50 ,22,7,8,1,5,5,9,9,9,9,9
182,0,10,0, -   ,22,7,5,1,4,3,8,8,8,8,10
183,0,10,1, 0.10 ,24,1,1,1,7,3,9,7,9,9,7
184,1,10,4, 0.40 ,34,1,1,2,4,2,6,10,7,9,5
185,1,10,1, 0.10 ,25,3,4,1,7,4,10,10,7,8,8
186,1,10,3, 0.30 ,24,4,3,1,7,3,4,8,4,7,6
187,1,10,1, 0.10 ,26,10,5,2,4,1,8,9,7,10,7
188,1,10,1, 0.10 ,21,1,1,2,3,1,7,5,7,10,10
189,1,10,0, -   ,27,6,1,1,6,2,8,8,8,8,9
190,1,10,3, 0.30 ,25,1,1,2,7,3,7,7,7,7,7
191,1,10,2, 0.20 ,28,6,1,5,4,2,7,7,6,7,8
192,1,10,1, 0.10 ,24,2,7,1,6,2,7,10,9,9,10
193,1,10,2, 0.20 ,25,2,2,1,6,2,7,9,5,10,7
194,0,20,1, 0.05 ,24,9,9,3,3,2,9,10,8,10,10
195,0,20,5, 0.25 ,27,3,9,1,2,1,9,8,10,10,8
196,0,20,2, 0.10 ,25,1,6,1,1,1,9,9,9,9,9
197,0,20,3, 0.15 ,24,2,1,1,4,3,7,8,9,9,7
198,0,20,0, -   ,23,8,5,2,2,3,7,9,7,9,7
199,0,20,5, 0.25 ,30,2,1,4,5,3,9,7,7,9,9
200,0,20,3, 0.15 ,25,1,1,1,7,2,8,10,8,8,8
201,0,20,1, 0.05 ,25,8,8,1,4,2,7,8,9,9,8
202,0,20,2, 0.10 ,22,8,5,2,6,2,7,10,9,10,8
203,0,20,0, -   ,22,4,10,6,6,2,9,8,9,10,7
204,0,20,0, -   ,26,8,6,3,5,1,9,5,9,10,10
205,0,20,2, 0.10 ,23,5,5,1,7,1,7,8,9,10,5
206,0,20,8, 0.40 ,31,2,2,1,5,1,8,8,8,8,8
207,0,20,3, 0.15 ,23,9,5,1,3,1,8,8,10,8,9
208,0,20,11, 0.55 ,25,2,1,2,4,3,9,10,10,10,10
209,0,20,0, -   ,28,7,3,3,6,2,7,9,8,7,8
210,0,20,3, 0.15 ,29,10,4,2,6,3,8,8,6,9,9
211,0,20,2, 0.10 ,28,9,1,2,4,1,7,9,9,9,9
212,0,20,9, 0.45 ,27,3,6,1,5,2,7,9,7,8,9
213,0,20,2, 0.10 ,25,9,10,2,4,2,8,10,9,9,9
214,1,20,2, 0.10 ,23,6,8,1,6,2,8,10,10,9,8
215,1,20,5, 0.25 ,26,3,1,1,4,1,7,8,9,9,9
216,1,20,0, -   ,27,7,1,2,5,3,5,10,9,9,10
217,1,20,8, 0.40 ,26,8,1,5,4,2,7,10,7,10,10
218,1,20,1, 0.05 ,24,9,5,1,4,2,7,6,3,10,10
219,1,20,6, 0.30 ,26,1,1,1,3,2,7,7,6,9,6
220,1,20,3, 0.15 ,25,1,1,1,5,2,10,10,10,10,10
221,1,20,5, 0.25 ,27,6,1,2,6,3,7,9,7,9,9
222,1,20,0, -   ,27,8,3,2,6,3,4,9,7,9,4
223,1,20,1, 0.05 ,28,6,6,2,4,2,7,8,7,9,6
224,1,20,4, 0.20 ,32,1,3,6,7,4,8,10,8,8,8
225,1,20,2, 0.10 ,28,4,9,1,7,2,5,9,7,6,7
226,1,20,4, 0.20 ,23,1,3,2,3,1,10,10,10,10,10
227,1,20,3, 0.15 ,26,7,7,2,6,3,7,10,8,10,10
228,1,20,1, 0.05 ,24,1,4,3,7,3,5,8,4,7,8
229,1,20,4, 0.20 ,28,7,1,1,6,3,8,7,5,10,10
230,1,20,4, 0.20 ,42,5,1,2,7,3,6,6,6,6,6
231,1,20,3, 0.15 ,30,1,1,1,6,3,8,8,8,9,3
232,1,20,1, 0.05 ,31,4,7,2,5,4,8,8,8,8,6
233,1,20,5, 0.25 ,29,1,1,1,3,2,7,8,8,7,8
234,0,9,0, -   ,22,1,5,3,7,3,7,7,8,8,10
235,0,9,2, 0.22 ,23,3,1,1,4,3,6,9,9,8,9
236,0,9,0, -   ,24,3,3,2,7,1,7,9,10,8,8
237,0,9,1, 0.11 ,34,10,1,3,7,4,8,10,7,8,8
238,0,9,2, 0.22 ,27,3,5,1,2,1,10,9,10,9,8
239,0,9,1, 0.11 ,34,6,6,2,6,3,7,9,7,9,4
240,0,9,1, 0.11 ,26,1,1,1,6,3,3,8,5,3,6
241,0,9,3, 0.33 ,29,1,1,2,4,2,8,10,8,8,8
242,0,9,5, 0.56 ,26,3,3,3,7,3,7,9,7,8,4
243,1,9,3, 0.33 ,27,2,3,2,6,2,7,9,8,9,5
244,1,9,1, 0.11 ,28,8,9,2,5,3,7,10,7,10,10
245,1,9,1, 0.11 ,32,1,6,4,5,2,5,7,6,8,7
246,1,9,1, 0.11 ,25,7,1,1,7,6,7,8,6,7,6
247,1,9,0, -   ,25,1,1,1,6,4,5,10,2,8,4
248,1,9,3, 0.33 ,27,1,1,1,4,1,5,6,8,8,8
249,1,9,0, -   ,33,2,7,2,3,1,7,9,7,10,7
250,1,9,5, 0.56 ,25,1,1,4,2,1,10,9,9,10,10
251,1,9,1, 0.11 ,33,2,2,6,4,1,8,10,9,10,9
252,0,21,2, 0.10 ,28,1,1,1,6,2,9,9,9,9,10
253,0,21,2, 0.10 ,33,1,1,2,6,6,8,10,9,8,7
254,0,21,0, -   ,22,8,3,2,6,2,8,7,8,10,8
255,0,21,0, -   ,26,3,1,1,7,3,6,8,6,7,6
256,0,21,3, 0.14 ,24,6,5,2,6,4,6,9,6,8,6
257,0,21,0, -   ,24,5,6,2,5,1,7,9,7,9,10
258,0,21,7, 0.33 ,25,1,10,1,6,1,6,10,8,9,5
259,0,21,1, 0.05 ,25,2,2,2,7,1,7,9,8,8,9
260,0,21,6, 0.29 ,27,4,4,2,7,3,6,9,7,9,6
261,0,21,5, 0.24 ,26,1,4,1,7,2,5,8,7,7,8
262,0,21,0, -   ,29,1,10,6,6,3,6,10,5,9,3
263,0,21,6, 0.29 ,26,9,10,1,6,2,8,8,8,8,5
264,0,21,4, 0.19 ,26,1,3,1,6,2,8,7,8,9,5
265,0,21,1, 0.05 ,32,3,3,4,5,2,7,9,7,10,10
266,0,21,4, 0.19 ,28,2,2,2,7,3,8,8,7,7,4
267,0,21,0, -   ,26,2,2,1,3,3,7,6,5,7,7
268,0,21,10, 0.48 ,24,1,1,5,6,1,9,9,8,9,9
269,0,21,6, 0.29 ,24,4,5,2,6,2,8,8,6,8,7
270,0,21,5, 0.24 ,23,2,4,2,5,1,5,4,7,8,6
271,0,21,2, 0.10 ,23,10,9,2,4,1,9,10,10,9,10
272,0,21,0, -   ,25,10,10,2,4,1,9,10,10,9,10
273,1,21,1, 0.05 ,29,8,4,2,5,2,7,10,5,7,7
274,1,21,6, 0.29 ,24,3,3,3,4,2,7,7,10,9,9
275,1,21,1, 0.05 ,21,1,1,2,4,3,10,7,6,10,10
276,1,21,5, 0.24 ,26,7,3,2,4,1,7,6,7,10,8
277,1,21,5, 0.24 ,25,1,1,1,7,5,4,8,8,8,5
278,1,21,0, -   ,32,1,1,1,3,1,8,8,8,8,8
279,1,21,5, 0.24 ,25,7,1,3,4,2,8,9,6,10,7
280,1,21,5, 0.24 ,25,2,1,3,6,2,5,9,5,8,6
281,1,21,2, 0.10 ,27,2,5,6,5,5,7,8,6,8,5
282,1,21,7, 0.33 ,23,1,1,1,4,3,7,9,9,7,10
283,1,21,2, 0.10 ,27,1,1,1,4,2,9,9,9,9,9
284,1,21,1, 0.05 ,27,1,5,1,5,2,7,6,7,8,7
285,1,21,2, 0.10 ,24,1,1,4,6,6,8,10,10,10,8
286,1,21,0, -   ,22,4,7,1,6,3,3,6,6,7,7
287,1,21,0, -   ,22,1,1,1,7,3,7,10,5,7,10
288,1,21,4, 0.19 ,27,3,5,1,6,3,5,8,7,8,7
289,1,21,5, 0.24 ,28,1,2,1,4,1,4,9,10,8,8
290,1,21,2, 0.10 ,34,2,6,2,5,2,5,4,5,10,9
291,1,21,5, 0.24 ,27,5,5,1,3,2,6,9,7,9,9
292,1,21,4, 0.19 ,28,7,1,1,2,1,8,10,8,10,10
293,1,21,2, 0.10 ,28,3,7,2,5,2,7,10,9,9,9
294,0,14,1, 0.07 ,30,1,1,1,6,2,9,10,7,9,7
295,0,14,0, -   ,30,5,7,2,6,1,7,10,8,8,8
296,0,14,3, 0.21 ,28,10,10,1,4,2,8,9,6,10,9
297,0,14,4, 0.29 ,21,9,8,2,2,1,8,10,9,8,9
298,0,14,0, -   ,22,7,1,2,6,2,7,10,9,10,10
299,0,14,1, 0.07 ,24,1,1,2,6,2,6,9,9,8,9
300,0,14,2, 0.14 ,35,1,1,2,6,2,8,9,9,9,10
301,0,14,2, 0.14 ,34,3,8,2,4,1,9,9,8,9,8
302,0,14,0, -   ,21,8,7,2,3,1,8,8,8,8,10
303,0,14,1, 0.07 ,33,2,1,4,5,1,8,10,9,8,6
304,0,14,1, 0.07 ,28,1,10,1,7,2,6,10,10,8,8
305,0,14,2, 0.14 ,29,6,9,1,4,1,7,9,8,9,5
306,0,14,1, 0.07 ,22,6,2,1,6,3,6,9,8,8,8
307,0,14,3, 0.21 ,27,1,3,5,7,2,5,8,7,8,8
308,1,14,1, 0.07 ,27,7,3,1,7,2,7,10,8,8,7
309,1,14,2, 0.14 ,32,5,9,3,3,2,7,8,9,9,7
310,1,14,1, 0.07 ,25,7,8,1,3,1,7,6,8,7,4
311,1,14,1, 0.07 ,29,1,1,2,6,1,9,9,10,9,3
312,1,14,1, 0.07 ,23,3,1,2,4,2,8,7,7,9,9
313,1,14,1, 0.07 ,27,2,3,1,4,1,7,8,8,8,6
314,1,14,0, -   ,32,3,1,2,6,2,8,8,8,9,7
315,1,14,2, 0.14 ,27,1,4,3,5,3,6,10,6,8,7
316,1,14,6, 0.43 ,25,3,3,2,4,1,6,8,7,8,9
317,1,14,3, 0.21 ,30,1,1,1,4,1,7,3,8,8,5
318,1,14,0, -   ,29,1,1,2,6,1,6,10,6,10,10
319,1,14,3, 0.21 ,26,2,4,6,7,2,5,10,6,9,3
320,1,14,0, -   ,36,6,8,4,5,5,8,8,9,9,7
321,1,14,0, -   ,29,3,3,1,5,1,6,8,7,7,8
322,0,9,2, 0.22 ,34,2,1,2,2,2,5,9,8,7,7
323,0,9,3, 0.33 ,25,1,1,2,4,3,7,9,6,8,3
324,0,9,4, 0.44 ,23,8,3,1,4,2,9,9,9,9,8
325,0,9,3, 0.33 ,30,2,4,2,6,2,7,9,7,8,8
326,0,9,2, 0.22 ,36,5,5,2,6,4,8,9,6,9,8
327,0,9,0, -   ,29,2,7,2,6,3,7,7,9,8,10
328,0,9,1, 0.11 ,30,1,1,2,3,1,7,10,8,10,10
329,0,9,0, -   ,29,1,1,6,6,2,8,9,5,8,8
330,0,9,1, 0.11 ,22,3,3,1,7,3,8,10,9,7,9
331,0,9,0, -   ,34,1,1,1,6,3,7,9,9,7,4
332,1,10,2, 0.20 ,30,1,1,3,7,4,5,10,6,6,10
333,1,10,2, 0.20 ,23,5,3,1,3,1,7,4,7,9,9
334,1,10,0, -   ,29,1,1,1,5,3,8,7,8,8,9
335,1,10,1, 0.10 ,24,1,8,1,3,3,8,7,9,8,8
336,1,10,1, 0.10 ,25,1,5,1,5,2,5,9,7,7,9
337,1,10,3, 0.30 ,28,1,1,1,5,3,6,6,6,6,6
338,1,10,2, 0.20 ,27,1,1,1,4,2,7,9,7,9,10
339,1,10,4, 0.40 ,0,0,0,0,0,0,0,0,0,0,0
340,1,10,1, 0.10 ,0,0,0,0,0,0,0,0,0,0,0
341,0,18,3, 0.17 ,23,3,10,1,6,1,7,9,9,7,9
342,0,18,1, 0.06 ,33,2,1,1,6,3,10,10,10,10,10
343,0,18,2, 0.11 ,32,5,6,3,2,1,4,8,6,10,7
344,0,18,4, 0.22 ,26,1,3,3,4,3,7,7,8,8,9
345,0,18,4, 0.22 ,24,7,6,2,7,4,7,9,7,9,7
346,0,18,6, 0.33 ,0,0,0,0,0,0,0,0,0,0,0
347,0,18,0, -   ,26,1,1,5,6,1,8,6,10,10,10
348,0,18,1, 0.06 ,21,3,3,2,6,1,6,10,10,10,10
349,0,18,8, 0.44 ,33,1,7,1,4,2,7,8,8,9,7
350,0,18,3, 0.17 ,31,9,5,2,7,3,7,10,6,8,8
351,0,18,5, 0.28 ,35,1,3,2,5,4,8,10,7,8,9
352,0,18,3, 0.17 ,29,6,6,2,4,3,9,10,9,9,8
353,0,18,1, 0.06 ,25,7,7,1,2,1,6,6,6,6,6
354,0,18,8, 0.44 ,22,9,8,1,6,1,7,7,10,8,8
355,0,18,1, 0.06 ,24,10,2,1,4,3,6,10,8,8,8
356,0,18,1, 0.06 ,27,2,4,1,7,2,7,10,8,9,6
357,0,18,3, 0.17 ,27,10,10,1,4,2,6,10,7,7,6
358,0,18,2, 0.11 ,26,1,1,1,5,3,8,7,8,8,7
359,0,18,3, 0.17 ,26,1,5,2,6,3,7,10,2,9,8
360,0,18,4, 0.22 ,24,8,4,2,6,2,8,10,8,8,8
361,1,20,1, 0.05 ,34,5,5,2,6,6,7,7,5,7,9
362,1,20,5, 0.25 ,30,1,1,1,4,3,7,7,9,8,8
363,1,20,2, 0.10 ,23,1,1,3,6,2,5,7,8,8,3
364,1,20,6, 0.30 ,27,6,2,3,4,2,8,8,8,9,9
365,1,20,1, 0.05 ,30,1,1,1,2,1,8,2,9,9,9
366,1,20,10, 0.50 ,27,4,6,1,4,1,6,8,9,8,10
367,1,20,4, 0.20 ,27,6,3,3,4,1,7,7,8,7,5
368,1,20,6, 0.30 ,24,1,1,1,4,2,6,8,8,8,7
369,1,20,8, 0.40 ,25,1,8,2,5,3,6,9,9,10,7
370,1,20,1, 0.05 ,28,7,4,3,4,1,8,6,9,9,9
371,1,20,4, 0.20 ,27,3,1,5,7,1,10,8,10,10,10
372,1,20,3, 0.15 ,27,9,7,2,5,2,7,8,8,9,8
373,1,20,4, 0.20 ,29,3,1,2,5,2,9,8,9,9,9
374,1,20,1, 0.05 ,30,6,6,2,4,2,6,7,6,7,7
375,1,20,3, 0.15 ,27,3,2,1,3,1,8,9,9,8,9
376,1,20,2, 0.10 ,25,10,7,2,5,2,6,10,8,9,10
377,1,20,1, 0.05 ,26,3,2,1,5,1,7,8,8,7,7
378,1,20,1, 0.05 ,29,3,2,6,5,2,6,7,7,9,7
379,0,19,2, 0.11 ,38,4,6,2,7,2,6,9,6,8,9
380,0,19,2, 0.11 ,33,4,8,2,7,4,4,7,9,9,9
381,0,19,2, 0.11 ,24,6,3,5,4,1,7,7,10,9,8
